time, location
2019-05-05, Potohar
2019-05-08, Las Vegas
2019-05-11, Victoria
2019-05-16, Vermilion
2019-05-17, West Tripura
2019-05-17, Delhi
2019-05-17, Sindh
2019-05-17, Jaisalmer
2019-05-17, Bengaluru
2019-05-21, Bajaur
2019-05-23, Mysuru
2019-05-24, Luqman Banda
2019-05-25, Abbottabad
2019-05-25, Lahore
2019-05-26, Bengaluru
2019-05-28, Beijing
2019-05-28, Ohio
2019-05-29, Romania
2019-06-02, Odisha
2019-06-02, New Mexico
2019-06-05, Ahmednagar
2019-06-06, Uttar Pradesh
2019-06-10, Bavaria
2019-06-14, Uttar Pradesh
2019-06-18, Wichita
2019-06-29, Maharashtra
2019-07-01, Guadalajara
2019-07-03, Kaiyuan
2019-07-07, Italy
2019-07-08, Washington DC
2019-07-09, Texas
2019-07-10, Halkidiki
2019-07-22, Stanthorpe
2019-07-31, Yorkshire Dales
2019-08-01, UK
2019-08-11, Rome
2019-08-19, Montana
2019-08-19, Pennsylvania
2019-08-27, Porto Petro
2019-08-28, Mallorca
2019-09-01, Florida
2019-09-02, Kisumu
2019-09-18, Comboyne
2019-10-01, Wairoa
2019-10-02, Katlang
2019-10-11, Queensland
2019-10-14, Lima
2019-10-18, Hisar
2019-10-26, Queensland
2019-11-04, Riverland
2019-11-06, Islamabad
2019-11-14, Barmer
2019-11-14, Baniari Village
2019-11-15, Rajasthan
2019-11-18, Christchurch
2019-11-27, Lusaka
2019-11-29, Zambia
2019-12-12, Gippsland
2019-12-13, Uttarakhand
2019-12-13, Nagaur
2019-12-22, Woodside
